iso,Country,Population,Under-nourishment (%),HDI,Peace_index,Vegetables disponibility (kg/cap/year),Enough veg intake (> 91.25 kg/cap/year),Production,Exportations,Importations,Customs duration (h),Customs tax (%),Distance (km),Gdp/cap,"Population evolution (4y, %)",Trade balance (exp-imp),Self-sufficiency (prod-dispo),"Market growth (2y, %)"
BEN,Benin,12290444,7.7,0.53,1.96,387.67,1,10509000000,1000000,36000000,78.0,11.67,4342.712,3289.65516924035,12.41825617502881,-35000000,467.384544815468,12.5
KHM,Cambodia,16207746,6.0,0.598,2.039,163.59,1,9145000000,340000000,42000000,48.0,12.45,9920.646,4652.70816696785,5.125486110836352,298000000,400.6463842572557,0.0
CMR,Cameroon,25782341,6.7,0.583,2.593,318.67,1,12213000000,36000000,150000000,202.0,18.56,4622.562,3915.05150786601,12.035534722951894,-114000000,155.0263179565424,47.05882352941176
CAN,Canada,37601230,2.5,0.937,1.307,204.02999999999997,1,28409000000,10981000000,6249000000,2.0,2.1,6454.269,49299.21177121,5.316995467147942,4732000000,551.5037950380879,35.75928742124701
CHL,Chile,19039485,2.6,0.861,1.641,147.78,1,4658000000,1031000000,2791000000,60.0,1.04,11569.81,25206.401655096,6.543664722192191,-1760000000,96.86947449996677,43.791859866048426
CHN,China,1407745000,2.5,0.762,2.147,446.87,1,1074318000000,17212000000,36448000000,20.7,5.39,8742.565,16652.0988008463,2.0208571884104183,-19236000000,316.2781553832548,-23.83340647399327
CYP,Cyprus,1228836,2.5,0.897,1.914,109.34,1,157000000,80000000,389000000,18.0,2.55,2849.746,42711.28515625,3.5001010713563776,-309000000,18.423184021301452,29.666666666666668
COL,Colombia,50187406,7.2,0.768,2.651,186.12,1,9090000000,83000000,6624000000,112.0,2.85,8615.275,15720.5741986333,6.510389873218283,-6541000000,-4.998863753189397,21.163343698554964
COG,"Congo, Rep.",5570733,29.9,0.57,2.148,307.14,1,1768000000,0,52000000,276.0,12.91,5762.769,3851.01025769294,9.998191291106167,-52000000,10.232956126240481,6.122448979591836
CRI,Costa Rica,5084532,3.4,0.819,1.706,74.84,0,557000000,529000000,1134000000,20.0,3.22,8994.296,22467.875494931,3.866815981722661,-605000000,34.70793872867749,9.038461538461538
